fila_original,posicion_en_entrenamiento,fold_validacion
247,0,1
218,1,5
18,2,1
545,3,2
494,4,4
490,5,2
61,6,1
296,7,2
530,8,4
29,9,1
538,10,1
457,11,1
549,12,4
312,13,5
412,14,4
346,15,1
350,16,2
523,17,2
612,18,1
212,19,2
311,20,5
344,21,5
605,22,1
486,23,2
215,24,2
634,25,2
632,26,2
591,27,4
655,28,4
327,29,2
448,30,1
388,31,2
104,32,4
114,33,1
606,34,5
174,35,4
249,36,3
250,37,2
7,38,3
89,39,1
513,40,4
361,41,4
500,42,2
354,43,5
656,44,4
409,45,2
140,46,1
607,47,4
43,48,2
42,49,5
73,50,5
167,51,4
367,52,5
589,53,5
66,54,5
11,55,1
333,56,2
550,57,2
244,58,5
256,59,3
528,60,2
637,61,4
278,62,4
615,63,1
177,64,4
430,65,4
464,66,2
83,67,3
428,68,1
336,69,2
434,70,1
79,71,5
23,72,1
15,73,1
362,74,3
289,75,1
264,76,1
519,77,1
300,78,1
275,79,1
137,80,5
294,81,3
33,82,1
482,83,3
380,84,1
9,85,4
22,86,1
290,87,5
221,88,5
516,89,1
660,90,1
527,91,5
84,92,3
318,93,1
338,94,2
497,95,4
319,96,3
203,97,3
196,98,4
320,99,5
93,100,4
281,101,1
340,102,5
356,103,3
617,104,1
28,105,5
184,106,5
544,107,4
292,108,2
178,109,3
334,110,2
153,111,3
75,112,4
668,113,2
629,114,2
92,115,4
381,116,2
68,117,1
341,118,2
360,119,3
537,120,4
188,121,5
236,122,3
88,123,3
570,124,2
117,125,3
501,126,2
554,127,4
238,128,4
0,129,3
667,130,5
271,131,1
449,132,1
483,133,4
116,134,5
228,135,4
599,136,4
649,137,1
417,138,4
144,139,3
363,140,1
355,141,3
610,142,4
473,143,3
268,144,3
439,145,3
46,146,3
261,147,3
195,148,1
674,149,1
625,150,3
107,151,4
436,152,3
499,153,1
658,154,2
100,155,2
332,156,4
603,157,2
420,158,1
179,159,4
331,160,5
149,161,5
124,162,4
536,163,3
584,164,4
185,165,3
405,166,5
375,167,1
665,168,3
326,169,5
623,170,4
142,171,4
141,172,2
382,173,1
19,174,5
172,175,2
548,176,1
12,177,1
305,178,4
25,179,4
493,180,1
169,181,2
452,182,2
446,183,3
245,184,2
298,185,1
411,186,4
272,187,5
154,188,3
126,189,5
445,190,5
287,191,5
113,192,1
349,193,3
173,194,3
487,195,1
57,196,1
580,197,4
222,198,3
280,199,3
17,200,4
515,201,5
322,202,3
255,203,2
478,204,2
647,205,5
190,206,4
444,207,5
595,208,1
352,209,1
94,210,2
180,211,2
301,212,5
404,213,4
506,214,5
429,215,4
426,216,5
552,217,5
5,218,2
45,219,3
594,220,2
517,221,4
582,222,2
16,223,3
48,224,4
653,225,2
618,226,4
3,227,3
424,228,2
390,229,1
316,230,4
622,231,2
283,232,4
642,233,4
285,234,1
581,235,1
225,236,5
26,237,3
532,238,2
263,239,3
50,240,4
364,241,5
229,242,4
37,243,5
157,244,2
237,245,1
648,246,3
374,247,2
370,248,2
175,249,1
571,250,1
453,251,5
194,252,5
573,253,3
470,254,4
621,255,2
652,256,4
579,257,3
67,258,4
529,259,5
168,260,4
422,261,3
162,262,3
309,263,5
193,264,5
451,265,2
365,266,3
383,267,4
608,268,1
479,269,5
152,270,5
425,271,1
437,272,1
226,273,5
431,274,3
542,275,2
103,276,5
512,277,1
74,278,2
115,279,5
407,280,1
651,281,3
119,282,4
619,283,4
151,284,3
403,285,4
636,286,2
207,287,2
432,288,4
556,289,2
465,290,3
522,291,2
8,292,4
588,293,3
36,294,3
139,295,5
253,296,3
303,297,1
503,298,1
511,299,2
368,300,4
59,301,3
111,302,3
462,303,5
609,304,2
666,305,2
262,306,5
567,307,1
297,308,5
414,309,5
150,310,3
433,311,1
440,312,3
266,313,5
586,314,4
359,315,5
598,316,1
38,317,4
127,318,2
423,319,5
416,320,3
307,321,1
198,322,2
351,323,3
467,324,3
146,325,1
450,326,4
626,327,4
640,328,5
419,329,3
442,330,5
630,331,3
147,332,2
531,333,2
348,334,3
463,335,1
325,336,3
186,337,5
123,338,3
572,339,5
96,340,4
143,341,3
239,342,1
394,343,5
469,344,4
495,345,5
97,346,2
371,347,3
324,348,3
279,349,1
293,350,5
254,351,4
400,352,2
122,353,2
183,354,3
202,355,2
438,356,1
323,357,1
246,358,4
415,359,5
197,360,4
639,361,2
563,362,1
171,363,5
597,364,3
643,365,4
125,366,5
402,367,2
534,368,1
526,369,2
223,370,1
557,371,1
342,372,5
53,373,1
219,374,4
129,375,3
613,376,1
514,377,4
616,378,4
521,379,4
386,380,2
654,381,2
509,382,2
267,383,1
441,384,2
496,385,5
112,386,4
232,387,5
585,388,3
373,389,5
233,390,2
535,391,4
317,392,3
410,393,3
602,394,3
358,395,2
258,396,1
282,397,2
376,398,4
384,399,3
224,400,2
641,401,5
551,402,4
472,403,3
347,404,3
505,405,3
664,406,1
624,407,3
574,408,3
85,409,5
242,410,1
159,411,4
524,412,2
35,413,5
540,414,1
170,415,3
576,416,3
568,417,3
635,418,1
95,419,5
240,420,3
460,421,3
553,422,3
590,423,3
206,424,4
392,425,4
397,426,2
569,427,5
217,428,4
