puesto_comun,comparacion_id,mae_promedio,mae_desvio,mae_minimo,mae_maximo,r2_promedio,r2_desvio,nombre,origen,filtrar_weight_menor_4,id_fuerza_bruta,puesto_original,alias,terminos,n_terminos,delta_mae_vs_base,folds_mejora_vs_base
1,5,0.910390101192178,0.12276784369770546,0.7437489262745559,1.0617197683286232,0.033858882514498666,0.04150886309056748,Ramiro 6,Manual,True,,,Ramiro 6,mage + gained + habit_bin + whitemom_bin + marital_bin + sex_bin,6,-0.023060673512848906,4
2,13,0.9180006881762435,0.1222594657150727,0.7579222201155322,1.0536511951367582,0.004506334256642597,0.031597959162183,FB 6743,Top 10 fuerza bruta,False,6743.0,7.0,FB 6743,fage + gained + sex_bin + marital_bin + whitemom_bin + sex_bin*marital_bin + marital_bin*whitemom_bin,7,-0.015450086528783435,4
3,7,0.9191769722662467,0.125326935234828,0.7546883522534334,1.037533556142269,0.011074550010982408,0.044673873470360254,FB 16661,Top 10 fuerza bruta,False,16661.0,1.0,FB 16661,fage + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + sex_bin*marital_bin + marital_bin*whitemom_bin,8,-0.014273802438780181,4
4,9,0.9218913611128411,0.12825706228985642,0.7498043416019046,1.0304209363217882,0.012697741674020402,0.05360621678054005,FB 27126,Top 10 fuerza bruta,False,27126.0,3.0,FB 27126,fage + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin + sex_bin*marital_bin + marital_bin*whitemom_bin,9,-0.011559413592185819,4
5,10,0.9222314283444042,0.12214287129847394,0.7536576333967772,1.0412314295151033,0.008617856882230823,0.04098758787019079,FB 10210,Top 10 fuerza bruta,False,10210.0,4.0,FB 10210,gained + sex_bin + habit_bin + marital_bin + whitemom_bin + sex_bin*marital_bin + marital_bin*whitemom_bin,7,-0.011219346360622717,4
6,12,0.9235654589131889,0.13368136488551466,0.755929427051648,1.0607797089329059,0.003045652630020923,0.07997181753460951,FB 32316,Top 10 fuerza bruta,False,32316.0,6.0,FB 32316,mage + visits + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin + mage*visits + sex_bin*marital_bin,10,-0.009885315791838045,4
7,14,0.923700825135614,0.13001525932833055,0.7444397683717066,1.0327738438847438,0.013718385217647722,0.055923192560082796,FB 20630,Top 10 fuerza bruta,False,20630.0,8.0,FB 20630,gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin + sex_bin*marital_bin + marital_bin*whitemom_bin,8,-0.009749949569412886,4
8,3,0.9249022621723668,0.12191799046961141,0.7670197972185532,1.0641541992645411,0.0017447254199657314,0.03439717849322739,Ramiro 4,Manual,False,,,Ramiro 4,mage + gained + whitemom_bin,3,-0.00854851253266009,3
9,16,0.9278579317983235,0.13668926988250446,0.7566549243780448,1.0749580803932208,-0.0019804855377548057,0.0825103633022227,FB 31909,Top 10 fuerza bruta,False,31909.0,10.0,FB 31909,fage + visits + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin + fage*visits + sex_bin*marital_bin,10,-0.005592842906703366,4
10,2,0.9297684920124777,0.12783350315925684,0.7734166212081455,1.054788703907262,0.0036922829491635055,0.04986731479144355,Ramiro 3,Manual,False,,,Ramiro 3,mage + gained + habit_bin + whitemom_bin,4,-0.0036822826925492214,2
11,11,0.9298219858975021,0.12501382622174312,0.7641014014275613,1.0544777164590335,-0.0029317472744287976,0.03881244528793671,FB 25574,Top 10 fuerza bruta,False,25574.0,5.0,FB 25574,fage + visits + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + fage*visits + marital_bin*whitemom_bin,9,-0.0036287888075248187,4
12,1,0.9298416603663053,0.12083622694932108,0.775264941172987,1.0642348050923214,0.003853776593410374,0.056119147535737636,Ramiro 2,Manual,False,,,Ramiro 2,mage + visits + gained + sex_bin + habit_bin + whitemom_bin,6,-0.003609114338721575,2
13,8,0.9305134290303261,0.12870022849778237,0.756217098545664,1.0700368470585622,-0.010863598263067643,0.05384754477138242,FB 20247,Top 10 fuerza bruta,False,20247.0,2.0,FB 20247,visits + gained + sex_bin + marital_bin + whitemom_bin + mature_bin + visits*mature_bin + sex_bin*marital_bin,8,-0.002937345674700831,3
14,15,0.9311998947913886,0.13596231380246754,0.7528634695720876,1.0650717359071165,-0.003693999862706754,0.07458545038406948,FB 28899,Top 10 fuerza bruta,False,28899.0,9.0,FB 28899,visits + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin + visits*mature_bin + sex_bin*marital_bin,9,-0.0022508799136382596,3
15,0,0.9334507747050269,0.12436307984807579,0.7676655906413731,1.060839373318139,-0.006152152690048762,0.04770991134538469,Ramiro 1,Manual,False,,,Ramiro 1,fage + mage + visits + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,9,0.0,0
16,4,0.9351758537111268,0.12005767127121189,0.7635600786216307,1.0698487014847748,-0.04262101587373261,0.019117238356929477,Ramiro 5,Manual,False,,,Ramiro 5,visits/mage + gained + gained/visits_seguras + sex_bin*gained + habit_bin*gained + visits*mage,6,0.001725079006099861,2
17,6,0.9364103735374784,0.13635151597167924,0.7420114553126539,1.0681197953191226,-0.02971295513569594,0.0855998738274119,Ramiro 7,Manual,False,,,Ramiro 7,mage + gained + mage^2 + mage*gained + gained^2,5,0.002959598832451449,3
