modelo_id,variables,interacciones,n_variables,n_interacciones,n_terminos
0,fage,,1,0,1
1,mage,,1,0,1
2,visits,,1,0,1
3,gained,,1,0,1
4,sex_bin,,1,0,1
5,habit_bin,,1,0,1
6,marital_bin,,1,0,1
7,whitemom_bin,,1,0,1
8,mature_bin,,1,0,1
9,fage + mage,,2,0,2
10,fage + mage,fage × mage,2,1,3
11,fage + visits,,2,0,2
12,fage + visits,fage × visits,2,1,3
13,fage + gained,,2,0,2
14,fage + gained,fage × gained,2,1,3
15,fage + sex_bin,,2,0,2
16,fage + sex_bin,fage × sex_bin,2,1,3
17,fage + habit_bin,,2,0,2
18,fage + habit_bin,fage × habit_bin,2,1,3
19,fage + marital_bin,,2,0,2
20,fage + marital_bin,fage × marital_bin,2,1,3
21,fage + whitemom_bin,,2,0,2
22,fage + whitemom_bin,fage × whitemom_bin,2,1,3
23,fage + mature_bin,,2,0,2
24,fage + mature_bin,fage × mature_bin,2,1,3
25,mage + visits,,2,0,2
26,mage + visits,mage × visits,2,1,3
27,mage + gained,,2,0,2
28,mage + gained,mage × gained,2,1,3
29,mage + sex_bin,,2,0,2
30,mage + sex_bin,mage × sex_bin,2,1,3
31,mage + habit_bin,,2,0,2
32,mage + habit_bin,mage × habit_bin,2,1,3
33,mage + marital_bin,,2,0,2
34,mage + marital_bin,mage × marital_bin,2,1,3
35,mage + whitemom_bin,,2,0,2
36,mage + whitemom_bin,mage × whitemom_bin,2,1,3
37,mage + mature_bin,,2,0,2
38,mage + mature_bin,mage × mature_bin,2,1,3
39,visits + gained,,2,0,2
40,visits + gained,visits × gained,2,1,3
41,visits + sex_bin,,2,0,2
42,visits + sex_bin,visits × sex_bin,2,1,3
43,visits + habit_bin,,2,0,2
44,visits + habit_bin,visits × habit_bin,2,1,3
45,visits + marital_bin,,2,0,2
46,visits + marital_bin,visits × marital_bin,2,1,3
47,visits + whitemom_bin,,2,0,2
48,visits + whitemom_bin,visits × whitemom_bin,2,1,3
49,visits + mature_bin,,2,0,2
50,visits + mature_bin,visits × mature_bin,2,1,3
51,gained + sex_bin,,2,0,2
52,gained + sex_bin,gained × sex_bin,2,1,3
53,gained + habit_bin,,2,0,2
54,gained + habit_bin,gained × habit_bin,2,1,3
55,gained + marital_bin,,2,0,2
56,gained + marital_bin,gained × marital_bin,2,1,3
57,gained + whitemom_bin,,2,0,2
58,gained + whitemom_bin,gained × whitemom_bin,2,1,3
59,gained + mature_bin,,2,0,2
60,gained + mature_bin,gained × mature_bin,2,1,3
61,sex_bin + habit_bin,,2,0,2
62,sex_bin + habit_bin,sex_bin × habit_bin,2,1,3
63,sex_bin + marital_bin,,2,0,2
64,sex_bin + marital_bin,sex_bin × marital_bin,2,1,3
65,sex_bin + whitemom_bin,,2,0,2
66,sex_bin + whitemom_bin,sex_bin × whitemom_bin,2,1,3
67,sex_bin + mature_bin,,2,0,2
68,sex_bin + mature_bin,sex_bin × mature_bin,2,1,3
69,habit_bin + marital_bin,,2,0,2
70,habit_bin + marital_bin,habit_bin × marital_bin,2,1,3
71,habit_bin + whitemom_bin,,2,0,2
72,habit_bin + whitemom_bin,habit_bin × whitemom_bin,2,1,3
73,habit_bin + mature_bin,,2,0,2
74,habit_bin + mature_bin,habit_bin × mature_bin,2,1,3
75,marital_bin + whitemom_bin,,2,0,2
76,marital_bin + whitemom_bin,marital_bin × whitemom_bin,2,1,3
77,marital_bin + mature_bin,,2,0,2
78,marital_bin + mature_bin,marital_bin × mature_bin,2,1,3
79,whitemom_bin + mature_bin,,2,0,2
80,whitemom_bin + mature_bin,whitemom_bin × mature_bin,2,1,3
81,fage + mage + visits,,3,0,3
82,fage + mage + visits,fage × mage,3,1,4
83,fage + mage + visits,fage × visits,3,1,4
84,fage + mage + visits,mage × visits,3,1,4
85,fage + mage + visits,fage × mage + fage × visits,3,2,5
86,fage + mage + visits,fage × mage + mage × visits,3,2,5
87,fage + mage + visits,fage × visits + mage × visits,3,2,5
88,fage + mage + gained,,3,0,3
89,fage + mage + gained,fage × mage,3,1,4
90,fage + mage + gained,fage × gained,3,1,4
91,fage + mage + gained,mage × gained,3,1,4
92,fage + mage + gained,fage × mage + fage × gained,3,2,5
93,fage + mage + gained,fage × mage + mage × gained,3,2,5
94,fage + mage + gained,fage × gained + mage × gained,3,2,5
95,fage + mage + sex_bin,,3,0,3
96,fage + mage + sex_bin,fage × mage,3,1,4
97,fage + mage + sex_bin,fage × sex_bin,3,1,4
98,fage + mage + sex_bin,mage × sex_bin,3,1,4
99,fage + mage + sex_bin,fage × mage + fage × sex_bin,3,2,5
100,fage + mage + sex_bin,fage × mage + mage × sex_bin,3,2,5
101,fage + mage + sex_bin,fage × sex_bin + mage × sex_bin,3,2,5
102,fage + mage + habit_bin,,3,0,3
103,fage + mage + habit_bin,fage × mage,3,1,4
104,fage + mage + habit_bin,fage × habit_bin,3,1,4
105,fage + mage + habit_bin,mage × habit_bin,3,1,4
106,fage + mage + habit_bin,fage × mage + fage × habit_bin,3,2,5
107,fage + mage + habit_bin,fage × mage + mage × habit_bin,3,2,5
108,fage + mage + habit_bin,fage × habit_bin + mage × habit_bin,3,2,5
109,fage + mage + marital_bin,,3,0,3
110,fage + mage + marital_bin,fage × mage,3,1,4
111,fage + mage + marital_bin,fage × marital_bin,3,1,4
112,fage + mage + marital_bin,mage × marital_bin,3,1,4
113,fage + mage + marital_bin,fage × mage + fage × marital_bin,3,2,5
114,fage + mage + marital_bin,fage × mage + mage × marital_bin,3,2,5
115,fage + mage + marital_bin,fage × marital_bin + mage × marital_bin,3,2,5
116,fage + mage + whitemom_bin,,3,0,3
117,fage + mage + whitemom_bin,fage × mage,3,1,4
118,fage + mage + whitemom_bin,fage × whitemom_bin,3,1,4
119,fage + mage + whitemom_bin,mage × whitemom_bin,3,1,4
120,fage + mage + whitemom_bin,fage × mage + fage × whitemom_bin,3,2,5
121,fage + mage + whitemom_bin,fage × mage + mage × whitemom_bin,3,2,5
122,fage + mage + whitemom_bin,fage × whitemom_bin + mage × whitemom_bin,3,2,5
123,fage + mage + mature_bin,,3,0,3
124,fage + mage + mature_bin,fage × mage,3,1,4
125,fage + mage + mature_bin,fage × mature_bin,3,1,4
126,fage + mage + mature_bin,mage × mature_bin,3,1,4
127,fage + mage + mature_bin,fage × mage + fage × mature_bin,3,2,5
128,fage + mage + mature_bin,fage × mage + mage × mature_bin,3,2,5
129,fage + mage + mature_bin,fage × mature_bin + mage × mature_bin,3,2,5
130,fage + visits + gained,,3,0,3
131,fage + visits + gained,fage × visits,3,1,4
132,fage + visits + gained,fage × gained,3,1,4
133,fage + visits + gained,visits × gained,3,1,4
134,fage + visits + gained,fage × visits + fage × gained,3,2,5
135,fage + visits + gained,fage × visits + visits × gained,3,2,5
136,fage + visits + gained,fage × gained + visits × gained,3,2,5
137,fage + visits + sex_bin,,3,0,3
138,fage + visits + sex_bin,fage × visits,3,1,4
139,fage + visits + sex_bin,fage × sex_bin,3,1,4
140,fage + visits + sex_bin,visits × sex_bin,3,1,4
141,fage + visits + sex_bin,fage × visits + fage × sex_bin,3,2,5
142,fage + visits + sex_bin,fage × visits + visits × sex_bin,3,2,5
143,fage + visits + sex_bin,fage × sex_bin + visits × sex_bin,3,2,5
144,fage + visits + habit_bin,,3,0,3
145,fage + visits + habit_bin,fage × visits,3,1,4
146,fage + visits + habit_bin,fage × habit_bin,3,1,4
147,fage + visits + habit_bin,visits × habit_bin,3,1,4
148,fage + visits + habit_bin,fage × visits + fage × habit_bin,3,2,5
149,fage + visits + habit_bin,fage × visits + visits × habit_bin,3,2,5
150,fage + visits + habit_bin,fage × habit_bin + visits × habit_bin,3,2,5
151,fage + visits + marital_bin,,3,0,3
152,fage + visits + marital_bin,fage × visits,3,1,4
153,fage + visits + marital_bin,fage × marital_bin,3,1,4
154,fage + visits + marital_bin,visits × marital_bin,3,1,4
155,fage + visits + marital_bin,fage × visits + fage × marital_bin,3,2,5
156,fage + visits + marital_bin,fage × visits + visits × marital_bin,3,2,5
157,fage + visits + marital_bin,fage × marital_bin + visits × marital_bin,3,2,5
158,fage + visits + whitemom_bin,,3,0,3
159,fage + visits + whitemom_bin,fage × visits,3,1,4
160,fage + visits + whitemom_bin,fage × whitemom_bin,3,1,4
161,fage + visits + whitemom_bin,visits × whitemom_bin,3,1,4
162,fage + visits + whitemom_bin,fage × visits + fage × whitemom_bin,3,2,5
163,fage + visits + whitemom_bin,fage × visits + visits × whitemom_bin,3,2,5
164,fage + visits + whitemom_bin,fage × whitemom_bin + visits × whitemom_bin,3,2,5
165,fage + visits + mature_bin,,3,0,3
166,fage + visits + mature_bin,fage × visits,3,1,4
167,fage + visits + mature_bin,fage × mature_bin,3,1,4
168,fage + visits + mature_bin,visits × mature_bin,3,1,4
169,fage + visits + mature_bin,fage × visits + fage × mature_bin,3,2,5
170,fage + visits + mature_bin,fage × visits + visits × mature_bin,3,2,5
171,fage + visits + mature_bin,fage × mature_bin + visits × mature_bin,3,2,5
172,fage + gained + sex_bin,,3,0,3
173,fage + gained + sex_bin,fage × gained,3,1,4
174,fage + gained + sex_bin,fage × sex_bin,3,1,4
175,fage + gained + sex_bin,gained × sex_bin,3,1,4
176,fage + gained + sex_bin,fage × gained + fage × sex_bin,3,2,5
177,fage + gained + sex_bin,fage × gained + gained × sex_bin,3,2,5
178,fage + gained + sex_bin,fage × sex_bin + gained × sex_bin,3,2,5
179,fage + gained + habit_bin,,3,0,3
180,fage + gained + habit_bin,fage × gained,3,1,4
181,fage + gained + habit_bin,fage × habit_bin,3,1,4
182,fage + gained + habit_bin,gained × habit_bin,3,1,4
183,fage + gained + habit_bin,fage × gained + fage × habit_bin,3,2,5
184,fage + gained + habit_bin,fage × gained + gained × habit_bin,3,2,5
185,fage + gained + habit_bin,fage × habit_bin + gained × habit_bin,3,2,5
186,fage + gained + marital_bin,,3,0,3
187,fage + gained + marital_bin,fage × gained,3,1,4
188,fage + gained + marital_bin,fage × marital_bin,3,1,4
189,fage + gained + marital_bin,gained × marital_bin,3,1,4
190,fage + gained + marital_bin,fage × gained + fage × marital_bin,3,2,5
191,fage + gained + marital_bin,fage × gained + gained × marital_bin,3,2,5
192,fage + gained + marital_bin,fage × marital_bin + gained × marital_bin,3,2,5
193,fage + gained + whitemom_bin,,3,0,3
194,fage + gained + whitemom_bin,fage × gained,3,1,4
195,fage + gained + whitemom_bin,fage × whitemom_bin,3,1,4
196,fage + gained + whitemom_bin,gained × whitemom_bin,3,1,4
197,fage + gained + whitemom_bin,fage × gained + fage × whitemom_bin,3,2,5
198,fage + gained + whitemom_bin,fage × gained + gained × whitemom_bin,3,2,5
