fold_externo,fila_original,fold_interno
1,0,1
1,3,1
1,8,1
1,12,1
1,13,1
1,14,1
1,18,1
1,21,1
1,26,1
1,36,1
1,40,1
1,48,1
1,61,1
1,75,1
1,89,1
1,95,1
1,97,1
1,99,1
1,100,1
1,103,1
1,104,1
1,105,1
1,106,1
1,107,1
1,113,1
1,115,1
1,117,1
1,122,1
1,123,1
1,126,1
1,139,1
1,142,1
1,159,1
1,177,1
1,178,1
1,185,1
1,188,1
1,197,1
1,198,1
1,203,1
1,214,1
1,224,1
1,232,1
1,237,1
1,238,1
1,241,1
1,246,1
1,254,1
1,258,1
1,261,1
1,275,1
1,276,1
1,301,1
1,309,1
1,311,1
1,323,1
1,327,1
1,330,1
1,349,1
1,352,1
1,354,1
1,360,1
1,363,1
1,382,1
1,383,1
1,392,1
1,401,1
1,406,1
1,412,1
1,416,1
1,427,1
1,434,1
1,441,1
1,450,1
1,451,1
1,457,1
1,463,1
1,465,1
1,466,1
1,469,1
1,472,1
1,482,1
1,497,1
1,508,1
1,512,1
1,516,1
1,521,1
1,534,1
1,555,1
1,557,1
1,568,1
1,571,1
1,576,1
1,584,1
1,588,1
1,597,1
1,605,1
1,607,1
1,614,1
1,617,1
1,618,1
1,635,1
1,649,1
1,653,1
1,655,1
1,657,1
1,665,1
1,667,1
1,4,2
1,7,2
1,9,2
1,19,2
1,20,2
1,22,2
1,27,2
1,28,2
1,29,2
1,32,2
1,35,2
1,37,2
1,46,2
1,53,2
1,59,2
1,64,2
1,79,2
1,80,2
1,85,2
1,93,2
1,96,2
1,127,2
1,147,2
1,150,2
1,153,2
1,154,2
1,157,2
1,160,2
1,169,2
1,171,2
1,205,2
1,206,2
1,212,2
1,230,2
1,236,2
1,242,2
1,243,2
1,245,2
1,269,2
1,270,2
1,278,2
1,279,2
1,288,2
1,290,2
1,293,2
1,296,2
1,300,2
1,305,2
1,315,2
1,322,2
1,325,2
1,326,2
1,336,2
1,346,2
1,358,2
1,361,2
1,370,2
1,371,2
1,373,2
1,375,2
1,384,2
1,389,2
1,390,2
1,409,2
1,413,2
1,424,2
1,425,2
1,438,2
1,445,2
1,446,2
1,449,2
1,455,2
1,462,2
1,464,2
1,476,2
1,478,2
1,479,2
1,483,2
1,491,2
1,496,2
1,498,2
1,501,2
1,514,2
1,530,2
1,537,2
1,546,2
1,548,2
1,551,2
1,561,2
1,563,2
1,564,2
1,567,2
1,589,2
1,594,2
1,600,2
1,601,2
1,608,2
1,621,2
1,623,2
1,631,2
1,637,2
1,639,2
1,643,2
1,647,2
1,658,2
1,664,2
1,668,2
1,674,2
1,45,3
1,47,3
1,84,3
1,94,3
1,102,3
1,112,3
1,114,3
1,125,3
1,129,3
1,130,3
1,141,3
1,149,3
1,151,3
1,161,3
1,167,3
1,168,3
1,170,3
1,174,3
1,187,3
1,189,3
1,191,3
1,193,3
1,194,3
1,195,3
1,196,3
1,200,3
1,202,3
1,219,3
1,222,3
1,225,3
1,244,3
1,250,3
1,255,3
1,256,3
1,263,3
1,264,3
1,268,3
1,289,3
1,294,3
1,298,3
1,313,3
1,316,3
1,324,3
1,333,3
1,338,3
1,342,3
1,343,3
1,347,3
1,356,3
