fila_original,fold_validacion
0,2
1,5
2,1
3,3
4,5
5,3
6,1
7,2
8,4
9,2
10,1
11,2
12,3
13,5
14,5
15,2
16,3
17,3
18,2
19,3
20,5
21,5
22,2
23,2
24,1
25,3
26,3
27,5
28,2
29,2
30,1
31,1
32,5
33,2
34,5
35,5
36,4
37,3
38,4
39,1
40,5
41,1
42,2
43,2
44,1
45,3
46,3
47,5
48,3
49,1
50,3
51,1
52,5
53,4
54,1
55,1
56,1
57,3
58,5
59,4
60,1
61,2
62,5
63,1
64,5
65,1
66,2
67,3
68,2
69,1
70,1
71,5
72,1
73,2
74,4
75,2
76,1
77,1
78,1
79,2
80,5
81,1
82,1
83,2
84,2
85,5
86,1
87,5
88,2
89,2
90,1
91,5
92,2
93,2
94,3
95,5
96,4
97,4
98,5
99,5
100,3
101,1
102,5
103,4
104,2
105,5
106,5
107,3
108,1
109,1
110,1
111,4
112,4
113,3
114,2
115,4
116,2
117,2
118,1
119,4
120,1
121,5
122,4
123,4
124,3
125,4
126,3
127,4
128,5
129,4
130,5
131,1
132,1
133,1
134,5
135,1
136,1
137,2
138,5
139,4
140,2
141,3
142,3
143,4
144,3
145,1
146,4
147,4
148,1
149,3
150,4
151,4
152,4
153,2
154,3
155,1
156,5
157,3
158,1
159,5
160,5
161,5
162,3
163,1
164,1
165,1
166,5
167,2
168,3
169,3
170,5
171,4
172,3
173,3
174,2
175,3
176,1
177,2
178,2
179,3
180,3
181,1
182,1
183,4
184,2
185,3
186,4
187,5
188,2
189,5
190,3
191,5
192,1
193,3
194,3
195,3
196,2
197,4
198,4
199,1
200,5
201,5
202,4
203,2
204,1
205,5
206,5
207,4
208,1
209,1
210,1
211,1
212,2
213,1
214,5
215,2
216,5
217,5
218,2
219,4
220,1
221,2
222,3
223,4
224,4
225,3
226,4
227,1
228,3
229,3
230,5
231,1
232,4
233,4
234,1
235,1
236,2
237,3
238,2
239,4
240,5
241,5
242,5
243,5
244,2
245,3
246,4
247,2
248,1
249,2
250,2
251,5
252,5
253,4
254,4
255,3
256,2
257,1
258,4
259,1
260,1
261,3
262,4
263,3
264,2
265,1
266,4
267,4
268,3
269,5
270,5
271,2
272,3
273,5
274,1
275,2
276,5
277,1
278,2
279,4
280,3
281,2
282,4
283,3
284,1
285,3
286,1
287,3
288,5
289,2
290,2
291,1
292,2
293,4
294,2
295,5
296,2
297,4
298,3
299,1
300,2
301,3
302,1
303,4
304,1
305,3
306,1
307,4
308,5
309,3
310,1
311,2
312,2
313,5
314,1
315,5
316,3
317,4
318,2
319,2
320,2
321,1
322,3
323,4
324,4
325,4
326,3
327,2
328,1
329,1
330,5
331,3
332,3
333,2
334,2
335,1
336,2
337,5
338,2
339,5
340,2
341,2
342,4
343,5
344,2
345,5
346,2
347,4
348,4
349,3
350,2
351,4
352,3
353,1
354,2
355,3
356,2
357,1
358,4
359,4
360,2
361,2
362,2
363,3
364,3
365,3
366,5
367,2
368,4
369,1
370,3
371,4
372,5
373,4
374,3
375,3
376,4
377,1
378,5
379,5
380,2
381,2
382,3
383,3
384,4
385,5
386,4
387,5
388,2
389,5
390,3
391,5
392,5
393,1
394,4
395,1
396,1
397,5
398,1
399,1
400,4
401,5
402,4
403,4
404,3
405,3
406,5
407,4
408,1
409,2
410,4
411,3
412,2
413,5
414,4
415,4
416,4
417,3
418,5
419,4
420,3
421,1
422,3
423,4
424,3
425,4
426,3
427,5
428,2
429,3
430,2
431,4
432,4
433,4
434,2
435,5
436,3
437,4
438,4
439,3
440,4
441,4
442,4
443,1
444,3
445,3
446,3
447,1
448,2
449,2
450,4
451,3
452,3
453,3
454,5
455,5
456,1
457,2
458,5
459,5
460,5
461,5
462,4
463,4
464,2
465,4
466,5
467,4
468,1
469,4
470,3
471,5
472,4
473,3
474,5
475,5
476,5
477,1
478,3
479,3
480,1
481,1
482,2
483,2
484,5
485,1
486,2
487,3
488,1
489,5
490,2
491,5
492,5
493,3
494,2
495,4
496,4
497,2
498,5
499,3
500,2
501,2
502,5
503,4
504,5
505,5
506,3
507,1
508,5
509,4
510,5
511,4
512,4
513,2
514,4
515,3
516,2
517,3
518,1
519,2
520,5
521,4
522,4
523,2
524,5
525,1
526,4
527,2
528,2
529,3
530,2
531,4
532,3
533,1
534,4
535,4
536,3
537,2
538,2
539,1
540,5
541,1
542,4
543,1
544,2
545,2
546,5
547,1
548,3
549,2
550,2
551,4
552,3
553,5
554,2
555,5
556,4
557,4
558,1
559,1
560,5
561,5
562,5
563,4
564,5
565,5
566,5
567,4
568,5
569,5
570,2
571,3
572,4
573,3
574,5
575,1
576,5
577,1
578,1
579,3
580,3
581,3
582,3
583,1
584,3
585,4
586,4
587,1
588,4
589,2
590,5
591,2
592,5
593,1
594,3
595,3
596,1
597,4
598,4
599,3
600,5
601,5
602,4
603,3
604,1
605,2
606,2
607,2
608,3
609,4
610,3
611,1
612,2
613,4
614,5
615,2
616,4
617,2
618,3
619,4
620,1
621,3
622,3
623,3
624,5
625,3
626,4
627,1
628,1
629,2
630,4
631,5
632,2
633,1
634,2
635,5
636,4
637,2
638,1
639,4
640,4
641,4
642,3
643,4
644,1
645,1
646,1
647,3
648,3
649,3
650,1
651,4
652,3
653,3
654,4
655,2
656,2
657,5
658,3
659,5
660,2
661,1
662,1
663,1
664,5
665,3
666,4
667,2
668,2
669,5
670,1
671,1
672,5
673,1
674,3
