ranking_mae,modelo_id,variables,interacciones,n_variables,n_interacciones,n_terminos,mae_promedio,mae_desvio,r2_promedio,r2_desvio,delta_mae_vs_base,delta_r2_vs_base,folds_mejora_mae_vs_base
1,16661,fage + gained + sex_bin + habit_bin + marital_bin + whitemom_bin,sex_bin × marital_bin + marital_bin × whitemom_bin,6,2,8,0.8861021112713019,0.03136608634992976,0.04613356369807527,0.06168469495631648,-0.013821174222068855,0.01352617115192803,3
2,20247,visits + gained + sex_bin + marital_bin + whitemom_bin + mature_bin,visits × mature_bin + sex_bin × marital_bin,6,2,8,0.8874723999065747,0.03281185718430617,0.04902548287724904,0.03793523082891514,-0.012450885586796079,0.016418090331101802,4
3,27126,fage + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,sex_bin × marital_bin + marital_bin × whitemom_bin,7,2,9,0.8876693193529727,0.028024777441164297,0.048792662889254636,0.05687531133455257,-0.012253966140398087,0.016185270343107398,3
4,10210,gained + sex_bin + habit_bin + marital_bin + whitemom_bin,sex_bin × marital_bin + marital_bin × whitemom_bin,5,2,7,0.8877654065885456,0.03528952938369194,0.04960766717757923,0.05700464706237572,-0.012157878904825115,0.017000274631431993,4
5,25574,fage + visits + gained + sex_bin + habit_bin + marital_bin + whitemom_bin,fage × visits + marital_bin × whitemom_bin,7,2,9,0.8878513869266174,0.03542932256119751,0.04477040770244041,0.07169620048405011,-0.012071898566753392,0.012163015156293172,3
6,32316,mage + visits + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,mage × visits + sex_bin × marital_bin,8,2,10,0.8880306067635676,0.029437554551440228,0.05047944696101878,0.06532371388470097,-0.011892678729803152,0.017872054414871545,5
7,6743,fage + gained + sex_bin + marital_bin + whitemom_bin,sex_bin × marital_bin + marital_bin × whitemom_bin,5,2,7,0.8880883913172392,0.031271687210664985,0.034810681734209294,0.053736439322667785,-0.011834894176131594,0.002203289188062056,4
8,20630,gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,sex_bin × marital_bin + marital_bin × whitemom_bin,6,2,8,0.888103586928023,0.02779195131534617,0.05236886691799745,0.054232358504976756,-0.011819698565347703,0.01976147437185021,3
9,28899,visits + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,visits × mature_bin + sex_bin × marital_bin,7,2,9,0.8882915499096822,0.03274742116330549,0.05725842839701893,0.04584828632178894,-0.011631735583688574,0.024651035850871694,4
10,31909,fage + visits + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,fage × visits + sex_bin × marital_bin,8,2,10,0.8884014973132335,0.0300072344595494,0.048906955944034866,0.05798122378443109,-0.011521788180137271,0.01629956339788763,4
11,10372,gained + sex_bin + marital_bin + whitemom_bin + mature_bin,sex_bin × marital_bin + marital_bin × whitemom_bin,5,2,7,0.8884097630815513,0.026810590580515922,0.042532275880805305,0.05002045157273096,-0.011513522411819466,0.009924883334658068,4
12,17018,fage + gained + sex_bin + marital_bin + whitemom_bin + mature_bin,sex_bin × marital_bin + marital_bin × whitemom_bin,6,2,8,0.888496993006623,0.027297649115204218,0.039515662674310705,0.0508747085158444,-0.011426292486747758,0.006908270128163467,4
13,16612,fage + gained + sex_bin + habit_bin + marital_bin + whitemom_bin,fage × marital_bin + marital_bin × whitemom_bin,6,2,8,0.8885053347626946,0.031329280521987066,0.043374879816285516,0.06117495576340057,-0.011417950730676196,0.010767487270138279,3
14,16562,fage + gained + sex_bin + habit_bin + marital_bin + whitemom_bin,marital_bin × whitemom_bin,6,1,7,0.8885446157269875,0.03133574699881691,0.043799363223667065,0.061781556643107034,-0.011378669766383243,0.011191970677519827,3
15,9636,visits + gained + sex_bin + whitemom_bin + mature_bin,visits × mature_bin + gained × sex_bin,5,2,7,0.8885697012428467,0.03254064411560367,0.044997334661542585,0.03674068410602254,-0.011353584250524018,0.012389942115395347,4
16,9605,visits + gained + sex_bin + whitemom_bin + mature_bin,visits × mature_bin,5,1,6,0.8885774798921247,0.03278091156128487,0.04519410252431559,0.03673247610036294,-0.011345805601246095,0.012586709978168353,4
17,27889,mage + visits + gained + sex_bin + marital_bin + whitemom_bin + mature_bin,mage × visits + sex_bin × marital_bin,7,2,9,0.8885834486078356,0.03259167991679144,0.042122467966404106,0.0603405807664325,-0.011339836885535193,0.009515075420256869,4
18,20061,visits + gained + sex_bin + habit_bin + whitemom_bin + mature_bin,visits × mature_bin,6,1,7,0.8886510786091343,0.034399604804722705,0.05310768328437421,0.04779622461424904,-0.011272206884236469,0.02050029073822697,5
19,20130,visits + gained + sex_bin + habit_bin + whitemom_bin + mature_bin,visits × mature_bin + habit_bin × mature_bin,6,2,8,0.8886510786091343,0.03439960480472269,0.05310768328437421,0.04779622461424904,-0.011272206884236469,0.02050029073822697,5
