modelo,variable_1,variable_2,fold,n_train,n_validacion,mae,r2
BASE (sin interacción),,,1,540,135,0.8575303680335825,-0.031742712725819855
BASE (sin interacción),,,2,540,135,0.8812016121279022,0.07444858349721617
BASE (sin interacción),,,3,540,135,0.9312629565964201,-0.004557770765263536
BASE (sin interacción),,,4,540,135,0.9331656579777597,0.09434604604554164
BASE (sin interacción),,,5,540,135,0.896455832731188,0.030542816679064444
fage × mage,fage,mage,1,540,135,0.8587799742347053,-0.040694099301290976
fage × mage,fage,mage,2,540,135,0.884727040783573,0.07300664157426462
fage × mage,fage,mage,3,540,135,0.9330220314499307,-0.0061237865663006374
fage × mage,fage,mage,4,540,135,0.9333402186820632,0.09397371810872324
fage × mage,fage,mage,5,540,135,0.8965652977040884,0.03170327186856181
fage × visits,fage,visits,1,540,135,0.8464557748067069,-0.022483287441737998
fage × visits,fage,visits,2,540,135,0.8821079067463635,0.08276640086607578
fage × visits,fage,visits,3,540,135,0.929902993934947,-0.026449377665244356
fage × visits,fage,visits,4,540,135,0.9211744007502802,0.10989901819339598
fage × visits,fage,visits,5,540,135,0.8997280167364836,0.031990931188337624
fage × gained,fage,gained,1,540,135,0.8563643860750326,-0.034062828247067856
fage × gained,fage,gained,2,540,135,0.8853510425961817,0.06748823309208751
fage × gained,fage,gained,3,540,135,0.9340496502425978,-0.00933748721526384
fage × gained,fage,gained,4,540,135,0.9281876532391558,0.09931993061103406
fage × gained,fage,gained,5,540,135,0.8932849880042963,0.037597024937048196
fage × sex_bin,fage,sex_bin,1,540,135,0.8528518007894013,-0.029323963900060424
fage × sex_bin,fage,sex_bin,2,540,135,0.8807245977934832,0.07731500798677327
fage × sex_bin,fage,sex_bin,3,540,135,0.941610587891509,-0.009723419491079355
fage × sex_bin,fage,sex_bin,4,540,135,0.9351907656276501,0.08916799188371372
fage × sex_bin,fage,sex_bin,5,540,135,0.9006766179622423,0.03235923313929123
fage × habit_bin,fage,habit_bin,1,540,135,0.859233702451334,-0.039528755367946866
fage × habit_bin,fage,habit_bin,2,540,135,0.8819482914400426,0.07285243688513476
fage × habit_bin,fage,habit_bin,3,540,135,0.9307903144233973,-0.004002257312906821
fage × habit_bin,fage,habit_bin,4,540,135,0.9482548778974185,0.07697416269332635
fage × habit_bin,fage,habit_bin,5,540,135,0.899547992342312,0.017123558980588593
fage × marital_bin,fage,marital_bin,1,540,135,0.856013901503402,-0.030083225212883757
fage × marital_bin,fage,marital_bin,2,540,135,0.8825080947684723,0.07241674225447592
fage × marital_bin,fage,marital_bin,3,540,135,0.9311851302124371,-0.0041328208383921705
fage × marital_bin,fage,marital_bin,4,540,135,0.9319551059770197,0.09258574442458156
fage × marital_bin,fage,marital_bin,5,540,135,0.89730426670341,0.029250650675072376
fage × whitemom_bin,fage,whitemom_bin,1,540,135,0.8564736114281032,-0.022995218020607888
fage × whitemom_bin,fage,whitemom_bin,2,540,135,0.8862729536761084,0.0719592989558715
fage × whitemom_bin,fage,whitemom_bin,3,540,135,0.9311480919454478,-0.007467037326931436
fage × whitemom_bin,fage,whitemom_bin,4,540,135,0.9319203770011716,0.09958208387200151
fage × whitemom_bin,fage,whitemom_bin,5,540,135,0.9104591637684178,0.02196400175789459
fage × mature_bin,fage,mature_bin,1,540,135,0.8553827442353819,-0.02593093873429453
fage × mature_bin,fage,mature_bin,2,540,135,0.8781950375344204,0.07613962525284734
fage × mature_bin,fage,mature_bin,3,540,135,0.931823071868672,-0.0008686465799694343
fage × mature_bin,fage,mature_bin,4,540,135,0.9444841873450966,0.08186359379134667
fage × mature_bin,fage,mature_bin,5,540,135,0.8948802704542917,0.03153803786210885
mage × visits,mage,visits,1,540,135,0.8418730951361649,-0.018969501533162347
mage × visits,mage,visits,2,540,135,0.8782363131834198,0.09852778617573765
mage × visits,mage,visits,3,540,135,0.9294118884784961,-0.0238614806334696
mage × visits,mage,visits,4,540,135,0.9214543388932251,0.11899345079130219
mage × visits,mage,visits,5,540,135,0.9026289633513392,0.018588296956780104
mage × gained,mage,gained,1,540,135,0.8570257095758056,-0.030538766198479728
mage × gained,mage,gained,2,540,135,0.8946272671479977,0.05250675515170311
mage × gained,mage,gained,3,540,135,0.9307953585203518,-0.004846901520187297
mage × gained,mage,gained,4,540,135,0.936729752976962,0.08762732006515217
mage × gained,mage,gained,5,540,135,0.9037712083373399,0.015196364957130615
mage × sex_bin,mage,sex_bin,1,540,135,0.854046576554017,-0.026568781583222956
mage × sex_bin,mage,sex_bin,2,540,135,0.8799934406344968,0.07854109753025496
mage × sex_bin,mage,sex_bin,3,540,135,0.9338705062874617,-0.004122580947331533
mage × sex_bin,mage,sex_bin,4,540,135,0.9322239941920147,0.09008665956400219
mage × sex_bin,mage,sex_bin,5,540,135,0.9091471641916891,0.023524284604148904
mage × habit_bin,mage,habit_bin,1,540,135,0.8562462277269342,-0.030344472064719685
mage × habit_bin,mage,habit_bin,2,540,135,0.8810005708561497,0.07455576925485319
mage × habit_bin,mage,habit_bin,3,540,135,0.9306445699293739,-0.003513811541383527
mage × habit_bin,mage,habit_bin,4,540,135,0.9388370100133991,0.09131269602219838
mage × habit_bin,mage,habit_bin,5,540,135,0.8965840298260777,0.03141554464031604
mage × marital_bin,mage,marital_bin,1,540,135,0.8575840331948072,-0.03175753320422303
mage × marital_bin,mage,marital_bin,2,540,135,0.8815691181958915,0.07434009462201385
mage × marital_bin,mage,marital_bin,3,540,135,0.9310418895933906,-0.00468479965118318
mage × marital_bin,mage,marital_bin,4,540,135,0.933124825240662,0.09246024748454973
mage × marital_bin,mage,marital_bin,5,540,135,0.8970303361861021,0.02853151948317867
mage × whitemom_bin,mage,whitemom_bin,1,540,135,0.8586866424151012,-0.03605411235360512
mage × whitemom_bin,mage,whitemom_bin,2,540,135,0.8817661371462691,0.07269872585679871
mage × whitemom_bin,mage,whitemom_bin,3,540,135,0.9335330453265916,-0.008660937162844995
mage × whitemom_bin,mage,whitemom_bin,4,540,135,0.9331349453577452,0.09258303689262237
mage × whitemom_bin,mage,whitemom_bin,5,540,135,0.8989168119163177,0.02998129118205617
mage × mature_bin,mage,mature_bin,1,540,135,0.8584817181370812,-0.034430162169146294
mage × mature_bin,mage,mature_bin,2,540,135,0.8823560196557625,0.0718915605010293
mage × mature_bin,mage,mature_bin,3,540,135,0.9317714496923348,-0.0059253123563152155
mage × mature_bin,mage,mature_bin,4,540,135,0.9356885390439393,0.08851681218422303
mage × mature_bin,mage,mature_bin,5,540,135,0.8959055769604598,0.030126108795357265
visits × gained,visits,gained,1,540,135,0.8605287746280211,-0.036401883150812164
visits × gained,visits,gained,2,540,135,0.8845033933273367,0.05506340352249972
visits × gained,visits,gained,3,540,135,0.9310323541788704,-0.003986986663849557
visits × gained,visits,gained,4,540,135,0.9374506875230839,0.06785206588635573
visits × gained,visits,gained,5,540,135,0.895875445591067,0.031387510743750346
visits × sex_bin,visits,sex_bin,1,540,135,0.8598728672440996,-0.036162970913329096
visits × sex_bin,visits,sex_bin,2,540,135,0.8810698755322334,0.07461491442980972
visits × sex_bin,visits,sex_bin,3,540,135,0.9309787127375238,-0.0043742551348544545
visits × sex_bin,visits,sex_bin,4,540,135,0.9329792761658809,0.09445023798389807
visits × sex_bin,visits,sex_bin,5,540,135,0.8991322389898236,0.027248489318413394
visits × habit_bin,visits,habit_bin,1,540,135,0.8497646639492692,-0.04149706959543131
visits × habit_bin,visits,habit_bin,2,540,135,0.8808492347682086,0.08914409443350646
visits × habit_bin,visits,habit_bin,3,540,135,0.9309421599698413,-0.010251598360799141
visits × habit_bin,visits,habit_bin,4,540,135,0.9509887880220733,0.0675000187319349
visits × habit_bin,visits,habit_bin,5,540,135,0.8915016176764478,0.0464210193970539
visits × marital_bin,visits,marital_bin,1,540,135,0.8558832567298246,-0.030012671353314868
visits × marital_bin,visits,marital_bin,2,540,135,0.8817486770493171,0.07304335886438007
visits × marital_bin,visits,marital_bin,3,540,135,0.9305516465039834,-0.0025795733892450823
visits × marital_bin,visits,marital_bin,4,540,135,0.9443451215571568,0.06689034994964194
visits × marital_bin,visits,marital_bin,5,540,135,0.9011915041691507,0.024109457833742964
visits × whitemom_bin,visits,whitemom_bin,1,540,135,0.8662674813393849,-0.04107103547769153
visits × whitemom_bin,visits,whitemom_bin,2,540,135,0.8993229578616918,0.0428661124299603
visits × whitemom_bin,visits,whitemom_bin,3,540,135,0.9260120344461774,0.006190741199781913
visits × whitemom_bin,visits,whitemom_bin,4,540,135,0.9342924613104506,0.10169584462901515
visits × whitemom_bin,visits,whitemom_bin,5,540,135,0.8903097834166225,0.03433358411742182
visits × mature_bin,visits,mature_bin,1,540,135,0.8456213065837144,-0.011406784890179988
