ranking_mae,modelo,variable_1,variable_2,mae_promedio,mae_desvio,r2_promedio,r2_desvio,diferencia_mae_vs_base,diferencia_r2_vs_base,mejora_ambas_metricas
1,mage × visits,mage,visits,0.894720919808529,0.035515176277470285,0.0386557103514376,0.06646537312058488,-0.005202365684841559,0.006048317805289825,True
2,fage × visits,fage,visits,0.8958738185949562,0.033333925871073346,0.03514473702816541,0.061198031176797923,-0.0040494668984143445,0.002537344482017638,True
3,visits × mature_bin,visits,mature_bin,0.8966035459665198,0.0359840681965822,0.040096979218294894,0.0501440049469153,-0.003319739526850718,0.007489586672147122,True
4,sex_bin × marital_bin,sex_bin,marital_bin,0.8977706419910504,0.030730445603792497,0.036439216589777335,0.050161150830941026,-0.0021526435023201396,0.003831824043629563,True
5,marital_bin × whitemom_bin,marital_bin,whitemom_bin,0.8983662696641426,0.03387570744939279,0.03497120511969374,0.062173473811908436,-0.001557015829227959,0.0023638125735459675,True
6,fage × gained,fage,gained,0.8994475440314528,0.032078601046953224,0.03220097463556761,0.05453347046739207,-0.0004757414619177558,-0.0004064179105801591,False
7,fage × marital_bin,fage,marital_bin,0.8997932998329482,0.03256316211289004,0.03200741826057078,0.05116544664877846,-0.00012998566042232707,-0.0005999742855769888,False
8,BASE (sin interacción),,,0.8999232854933705,0.03258417578461918,0.03260739254614777,0.052651672533049976,0.0,0.0,False
9,habit_bin × mature_bin,habit_bin,mature_bin,0.8999232854933705,0.03258417578461918,0.03260739254614777,0.052651672533049976,0.0,0.0,False
10,mage × marital_bin,mage,marital_bin,0.9000700404821707,0.032436318285491185,0.03177790574686721,0.05213133997903357,0.00014675498880012405,-0.0008294867992805627,False
11,gained × habit_bin,gained,habit_bin,0.9001379119811999,0.032564197124305035,0.035191805754540416,0.057195714985780986,0.00021462648782932803,0.002584413208392644,False
12,sex_bin × habit_bin,sex_bin,habit_bin,0.900389255444213,0.03146331916922119,0.03110987267193064,0.052803797830573034,0.00046596995084247084,-0.001497519874217132,False
13,gained × sex_bin,gained,sex_bin,0.9004062608358543,0.03201234767036516,0.03256389464083855,0.05341068258244672,0.00048297534248376017,-4.349790530921993e-05,False
14,marital_bin × mature_bin,marital_bin,mature_bin,0.9005790499557674,0.032557667154255905,0.030537440207207344,0.05297794724543021,0.0006557644623969017,-0.0020699523389404277,False
